Unnamed: 0,price_change,pct_gain,total_gain,open_trade_dt,close_trade_dt,max_gain_before,max_gain_after,option_symbol,max_value_before_date,max_value_after_date,max_value_before_idx,max_value_after_idx,sell_code,quantity,position_id,underlying,modeling_strategy,gain,value_diff_before,value_diff_after,open_dt,close_dt,close_dw,open_dw,days_held,dt_x,hour_x,probabilities,label,predictions,symbol,dt_y,strategy,hour_y,max_price,min_price,open_price
2812,-0.1099999999999999,-12.790697674418604,-32.99999999999999,2023-05-16 10:00,2023-05-17 09:30,0.1511627906976744,2.1511627906976747,O:SPY230518C00414000,2023-05-16 10:30,2023-05-17 13:45,2,41.0,"Failed momentum gate, sell.",3,SPY-2023-05-16-10-CDBFC1D,SPY,CDBFC1D,-0.127906976744186,0.2790697674418604,2.2790697674418605,2023-05-16 10:00:00,2023-05-17 09:30:00,2,1,1,2023-05-16,10,0.6284063,1,1,SPY,2023-05-16,CDBFC1D,10,2.71,0.34,0.86
3647,-0.0099999999999999,-4.166666666666659,-4.99999999999999,2023-07-03 10:00,2023-07-03 12:45,0.7083333333333333,,O:GOOGL230707P00117000,2023-07-03 11:00,,4,,never sold,5,GOOGL-2023-07-03-10-CDBFP1D,GOOGL,CDBFP1D,-0.0416666666666665,0.7499999999999999,,2023-07-03 10:00:00,2023-07-03 12:45:00,0,0,1,2023-07-03,10,0.55313045,1,1,GOOGL,2023-07-03,CDBFP1D,10,0.41,0.2,0.24
5189,-0.1299999999999999,-44.82758620689655,-38.99999999999999,2023-09-07 10:00,2023-09-08 09:45,1.5862068965517244,-0.7586206896551724,O:XOM230908P00114000,2023-09-07 12:45,2023-09-08 10:00,11,26.0,"Failed momentum gate, sell.",3,XOM-2023-09-07-10-CDBFP1D,XOM,CDBFP1D,-0.4482758620689654,2.03448275862069,-0.3103448275862069,2023-09-07 10:00:00,2023-09-08 09:45:00,4,3,1,2023-09-07,10,0.51811355,1,1,XOM,2023-09-07,CDBFP1D,10,0.75,0.01,0.29
1411,-0.39,-62.903225806451616,-117.0,2023-03-28 11:00,2023-03-29 09:30,0.4193548387096774,-0.7258064516129031,O:AMZN230331P00095000,2023-03-28 13:45,2023-03-29 10:30,11,24.0,"Hit point of no confidence, sell.",3,AMZN-2023-03-28-11-CDBFP1D,AMZN,CDBFP1D,-0.6290322580645161,1.0483870967741935,-0.096774193548387,2023-03-28 11:00:00,2023-03-29 09:30:00,2,1,1,2023-03-28,11,0.5516285,1,1,AMZN,2023-03-28,CDBFP1D,11,0.88,0.05,0.62
2031,0.15,16.666666666666668,15.000000000000002,2023-04-24 10:00,2023-04-25 09:45,0.7444444444444445,3.7222222222222223,O:SPY230426P00410000,2023-04-24 12:15,2023-04-25 15:45,9,49.0,"Hit point of no confidence, sell.",1,SPY-2023-04-24-10-CDBFP1D,SPY,CDBFP1D,0.1666666666666666,0.5777777777777777,3.555555555555556,2023-04-24 10:00:00,2023-04-25 09:45:00,1,0,1,2023-04-24,10,0.7623554,1,1,SPY,2023-04-24,CDBFP1D,10,4.25,0.64,0.9
2156,-0.36,-41.37931034482759,-36.0,2023-04-27 10:00,2023-04-27 10:30,0.1264367816091954,-0.425287356321839,O:AMD230428P00084000,2023-04-27 10:00,2023-04-27 11:00,0,4.0,Breached floor pct,1,AMD-2023-04-27-10-CDBFP1D,AMD,CDBFP1D,-0.4137931034482758,0.5402298850574713,-0.0114942528735632,2023-04-27 10:00:00,2023-04-27 10:30:00,3,3,1,2023-04-27,10,0.5443204,0,1,AMD,2023-04-27,CDBFP1D,10,0.98,0.01,0.87
3381,0.62,158.97435897435898,124.0,2023-06-12 12:00,2023-06-13 10:00,2.358974358974359,2.0769230769230766,O:DIS230616C00094000,2023-06-13 09:30,2023-06-13 13:45,16,33.0,"Hit point of no confidence, sell.",2,DIS-2023-06-12-12-CDBFC1D,DIS,CDBFC1D,1.58974358974359,0.7692307692307692,0.4871794871794868,2023-06-12 12:00:00,2023-06-13 10:00:00,1,0,1,2023-06-12,12,0.62187284,1,1,DIS,2023-06-12,CDBFC1D,12,1.31,0.36,0.39
1590,0.0299999999999999,7.499999999999993,8.999999999999993,2023-03-15 14:00,2023-03-16 09:30,0.575,0.3,O:PYPL230317C00075000,2023-03-15 15:45,2023-03-16 13:00,7,22.0,"Failed momentum gate, sell.",3,PYPL-2023-03-15-14-CDBFC1D,PYPL,CDBFC1D,0.0749999999999999,0.5,0.225,2023-03-15 14:00:00,2023-03-16 09:30:00,3,2,1,2023-03-15,14,0.6372875,1,1,PYPL,2023-03-15,CDBFC1D,14,0.63,0.18,0.4
2013,-0.24,-23.076923076923077,-48.0,2023-04-20 15:00,2023-04-21 09:30,0.5,0.2211538461538461,O:SPY230424P00409000,2023-04-20 15:15,2023-04-21 10:45,1,9.0,"Failed momentum gate, sell.",2,SPY-2023-04-20-15-CDBFP1D,SPY,CDBFP1D,-0.2307692307692307,0.7307692307692307,0.4519230769230768,2023-04-20 15:00:00,2023-04-21 09:30:00,4,3,1,2023-04-20,15,0.6867594,1,1,SPY,2023-04-20,CDBFP1D,15,1.56,0.29,1.04
6318,0.29,120.83333333333334,87.00000000000001,2023-11-09 10:00,2023-11-10 09:45,4.291666666666667,2.666666666666667,O:GOOG231110P00132000,2023-11-10 09:30,2023-11-10 10:30,24,28.0,"Hit point of no confidence, sell.",3,GOOG-2023-11-09-10-CDBFP1D,GOOG,CDBFP1D,1.2083333333333337,3.0833333333333335,1.4583333333333337,2023-11-09 10:00:00,2023-11-10 09:45:00,4,3,1,2023-11-09,10,0.5254646,1,1,GOOG,2023-11-09,CDBFP1D,10,1.27,0.01,0.24
6396,1.3,265.30612244897964,260.0,2023-10-09 12:00,2023-10-10 10:15,2.612244897959184,3.5918367346938775,O:IWM231011C00175000,2023-10-10 10:00,2023-10-10 11:00,18,22.0,VCSell,2,IWM-2023-10-09-12-CDBFC1D,IWM,CDBFC1D,2.653061224489796,-0.0408163265306122,0.9387755102040812,2023-10-09 12:00:00,2023-10-10 10:15:00,1,0,1,2023-10-09,12,0.6230202,1,1,IWM,2023-10-09,CDBFC1D,12,2.25,0.42,0.49
539,-0.5100000000000001,-46.363636363636374,-204.00000000000009,2023-02-02 10:00,2023-02-02 14:15,0.8636363636363633,-0.5181818181818182,O:BA230203C00215000,2023-02-02 10:45,2023-02-02 14:30,3,18.0,Breached floor pct,4,BA-2023-02-02-10-CDBFC1D,BA,CDBFC1D,-0.4636363636363637,1.3272727272727272,-0.0545454545454544,2023-02-02 10:00:00,2023-02-02 14:15:00,3,3,1,2023-02-02,10,0.5410173,1,1,BA,2023-02-02,CDBFC1D,10,2.05,0.01,1.1
4666,-0.24,-36.36363636363637,-48.00000000000001,2023-08-09 11:00,2023-08-09 11:30,0.1212121212121211,0.8333333333333331,O:GOOG230811C00132000,2023-08-09 11:00,2023-08-10 10:00,0,22.0,Breached floor pct,2,GOOG-2023-08-09-11-CDBFC1D,GOOG,CDBFC1D,-0.3636363636363636,0.4848484848484848,1.1969696969696968,2023-08-09 11:00:00,2023-08-09 11:30:00,2,2,1,2023-08-09,11,0.5284968,1,1,GOOG,2023-08-09,CDBFC1D,11,1.21,0.15,0.66
